tick,equity,drawdown
50,86022.54000000001,0.13977459999999992
100,-28359.430000000015,1.2835943000000003
150,-138826.57,2.3882657000000003
200,-210930.9899999999,3.1093098999999986
250,-299794.84999999986,3.997948499999999
300,-358186.10999999975,4.581861099999998
350,-446442.7599999997,5.464427599999998
400,-520574.3299999996,6.205743299999996
450,-606654.1699999995,7.066541699999995
500,-672616.9599999995,7.726169599999995
550,-723502.7699999996,8.235027699999996
600,-789552.7499999992,8.895527499999991
650,-880155.4999999991,9.80155499999999
700,-955855.2199999993,10.558552199999992
750,-1023821.829999999,11.238218299999991
800,-1055539.149999999,11.55539149999999
850,-1154168.539999998,12.541685399999979
900,-1230033.2799999977,13.300332799999977
950,-1259513.969999998,13.595139699999981
1000,-1337478.209999998,14.374782099999981
1050,-1397496.6699999988,14.974966699999987
1100,-1479402.2499999984,15.794022499999985
1150,-1531116.7199999988,16.31116719999999
1200,-1533695.069999999,16.33695069999999
1250,-1552072.0099999988,16.520720099999988
1300,-1563990.7999999984,16.639907999999984
1350,-1642250.6599999976,17.422506599999977
1400,-1650342.509999997,17.50342509999997
1450,-1714125.9499999976,18.141259499999975
1500,-1783891.7699999984,18.838917699999985
1550,-1843052.0999999978,19.430520999999978
1600,-1879508.769999997,19.79508769999997
1650,-1921724.9699999965,20.217249699999964
1700,-1985068.769999996,20.85068769999996
1750,-2019440.379999996,21.19440379999996
1800,-2034101.1399999962,21.34101139999996
1850,-2122075.079999996,22.22075079999996
1900,-2178038.209999995,22.780382099999947
1950,-2233898.019999995,23.33898019999995
2000,-2367275.789999994,24.67275789999994
2050,-2397473.249999994,24.974732499999938
2100,-2466136.699999995,25.661366999999952
2150,-2510175.139999995,26.10175139999995
2200,-2633439.179999996,27.33439179999996
2250,-2717264.3199999956,28.172643199999957
2300,-2778345.159999997,28.783451599999967
2350,-2846123.819999996,29.46123819999996
2400,-2868452.5099999965,29.684525099999966
2450,-2919883.739999997,30.19883739999997
2500,-2917601.0699999966,30.176010699999967
2550,-2944413.3799999957,30.444133799999957
2600,-2950963.6899999958,30.509636899999958
2650,-3017606.6799999955,31.176066799999955
2700,-3094288.499999996,31.942884999999958
2750,-3126609.479999995,32.26609479999995
2800,-3203228.2199999965,33.03228219999996
2850,-3199247.309999996,32.992473099999955
2900,-3225488.659999995,33.25488659999995
2950,-3287486.1799999946,33.87486179999995
3000,-3325999.9699999955,34.25999969999996
3050,-3377782.739999995,34.77782739999995
3100,-3458183.8499999954,35.581838499999954
3150,-3540844.909999994,36.40844909999994
3200,-3572828.209999995,36.72828209999995
3250,-3601543.469999993,37.01543469999993
3300,-3616985.919999994,37.16985919999994
3350,-3679751.7899999935,37.79751789999994
3400,-3699780.549999994,37.99780549999994
3450,-3810788.049999995,39.10788049999995
3500,-3919891.7699999944,40.198917699999946
3550,-4021403.9499999937,41.214039499999934
3600,-4118496.309999991,42.18496309999991
3650,-4198225.639999991,42.98225639999991
3700,-4342362.76999999,44.423627699999905
3750,-4441195.779999989,45.41195779999989
3800,-4550668.17999999,46.5066817999999
3850,-4687640.809999995,47.87640809999995
3900,-4799083.379999997,48.99083379999997
3950,-4860605.120000001,49.60605120000001
4000,-4995842.740000002,50.95842740000002
4050,-5131971.970000003,52.319719700000036
4100,-5192739.340000004,52.927393400000035
4150,-5284467.350000003,53.844673500000034
4200,-5348673.200000005,54.486732000000046
4250,-5495909.51,55.9590951
4300,-5622081.069999996,57.22081069999996
4350,-5742828.199999993,58.428281999999925
4400,-5872663.099999996,59.72663099999996
4450,-6026032.349999997,61.26032349999997
4500,-6172204.099999996,62.72204099999996
4550,-6285898.439999994,63.85898439999994
4600,-6430146.539999995,65.30146539999996
4650,-6479752.999999999,65.79753
4700,-6600561.7799999975,67.00561779999997
4750,-6718196.369999997,68.18196369999997
4800,-6821554.529999997,69.21554529999996
4850,-6814982.809999997,69.14982809999997
4900,-6820154.559999996,69.20154559999996
4950,-6827686.829999995,69.27686829999996
5000,-6843507.579999996,69.43507579999996
5050,-6852630.729999995,69.52630729999994
